"category_id","category_name","bisac"
"cf9e1c42-db34-11e5-8907-9419c17b2443","YA Nonfiction / House & Home","YAN027000"
"cf9e1e2c-db34-11e5-8907-9419c17b2443","YA Nonfiction / Religion","YAN047000"
"cf9e1fee-db34-11e5-8907-9419c17b2443","YA Nonfiction / Travel","YAN057000"
"cf9e21a6-db34-11e5-8907-9419c17b2443","YA Fiction / General Fiction","YAF000000"
"cf9e234a-db34-11e5-8907-9419c17b2443","YA Fiction / Action & Adventure","YAF001000"
"cf9e24ee-db34-11e5-8907-9419c17b2443","YA Fiction / Comics & Graphic Novels","YAF010000"
"cf9e26a6-db34-11e5-8907-9419c17b2443","YA Fiction / African American Fiction","YAF046120"
"cf9e2854-db34-11e5-8907-9419c17b2443","YA Fiction / Asian American Fiction","YAF046130"
"cf9e2a02-db34-11e5-8907-9419c17b2443","YA Fiction / Hispanic & Latino Fiction","YAF046140"
"cf9e2bb0-db34-11e5-8907-9419c17b2443","YA Fiction / Native American & Aboriginal Fiction","YAF046150"
"cf9e2d54-db34-11e5-8907-9419c17b2443","YA Fiction / Contemporary Women Fiction","YAF022000"
"cf9e2f0c-db34-11e5-8907-9419c17b2443","YA Fiction / Historical Fiction","YAF024000"
"cf9e30c4-db34-11e5-8907-9419c17b2443","YA Fiction / War & Mlitary Fiction","YAF067000"
"cf9e325e-db34-11e5-8907-9419c17b2443","YA Fiction / Horror","YAF026000"
"cf9e340c-db34-11e5-8907-9419c17b2443","YA Fiction / Humor","YAF027000"
"cf9e35b0-db34-11e5-8907-9419c17b2443","YA Fiction / Romance","YAF052000"
"cf9e3768-db34-11e5-8907-9419c17b2443","YA Fiction / Mystery & Detective Fiction","YAF042000"
"cf9e390c-db34-11e5-8907-9419c17b2443","YA Fiction / Religious Fiction","YAF051000"
"cf9e3aa6-db34-11e5-8907-9419c17b2443","YA Fiction / Christian Fiction","YAF051030"
"cf9e3c4a-db34-11e5-8907-9419c17b2443","YA Fiction / Jewish Fiction","YAF051130"
"cf9e3dee-db34-11e5-8907-9419c17b2443","YA Fiction / Fantasy","YAF019000"
"cf9e3fa6-db34-11e5-8907-9419c17b2443","YA Fiction / Short Stories","YAF057000"
"cf9e4154-db34-11e5-8907-9419c17b2443","YA Fiction / Coming-of-Age Fiction","YAF011000"
"cf9e42ee-db34-11e5-8907-9419c17b2443","YA Fiction / Westerns","YAF069000"
"cf9e4492-db34-11e5-8907-9419c17b2443","YA Fiction / Science Fiction","YAF056000"
"cf9e4636-db34-11e5-8907-9419c17b2443","YA Fiction / LGBTQ+","YAF031000"
"cf9e4802-db34-11e5-8907-9419c17b2443","YA Fiction / Thrillers","YAF062000"
"cf9e49b0-db34-11e5-8907-9419c17b2443","Adult Nonfiction / Poetry","POE000000"
